"word1";"word2";"ES.1";"ES.2";"POS";"score";"SimLex999";"conc(w1)";"conc(w2)";"concQ";"Assoc(USF)";"SimAssoc333";"SD(SimLex)"
"honest";"guilty";"honesto";"culpable";"A";"0.27";"1.18";"1.66";"2.36";1;"0.27";0;"1.68"
"easy";"tough";"fácil";"complicado";"A";"0.27";"0.52";"2.07";"2.5";1;"0.27";0;"1.87"
"easy";"flexible";"fácil";"flexible";"A";"0.27";"4.1";"2.07";"2.64";1;"0.27";0;"1.08"
"certain";"sure";"cierto";"seguro";"A";"0.23";"8.42";"1.68";"1.73";1;"0.23";0;"1.29"
"essential";"necessary";"esencial";"necesario";"A";"0.21";"8.97";"1.52";"1.8";1;"0.21";0;"1.11"
"different";"normal";"diferente";"normal";"A";"0.21";"1.08";"1.97";"1.4";1;"0.21";0;"1.75"
"sly";"clever";"astuto";;"A";"0.21";"7.25";"2.03";"1.79";1;"0.21";0;"1.41"
"crucial";"important";"crucial";"importante";"A";"0.21";"8.82";"2.08";"2.14";1;"0.21";0;"1.25"
"harsh";"cruel";"duro";"cruel";"A";"0.21";"8.18";"2.23";"2.11";1;"0.21";0;"1.66"
"childish";"foolish";"infantil";"bobo";"A";"0.21";"5.5";"2.52";"1.84";1;"0.21";0;"1.45"
"scarce";"rare";"escaso";"raro";"A";"0.21";"9.17";"2.57";"1.96";1;"0.21";0;"1.21"
"friendly";"generous";"amigable";"generoso";"A";"0.21";"5.9";"2.32";"2.25";1;"0.21";0;"0.6"
"fragile";"frigid";"frágil";"frígido";"A";"0.21";"2.38";"2.86";"3.28";2;"0.21";0;"0.84"
"long";"narrow";"largo";"estrecho";"A";"0.21";"3.57";"3.18";"3.04";2;"0.21";0;"1.62"
"big";"heavy";"grande";"pesado";"A";"0.21";"6.18";"3.66";"3.37";2;"0.21";0;"1.54"
"rough";"frigid";"áspero";"frigido";"A";"0.21";"2.47";"3.83";"3.28";2;"0.21";0;"1.37"
"bizarre";"strange";"bizarro";"extraño";"A";"0.2";"9.37";"1.79";"1.86";1;"0.2";0;"1.54"
"illegal";"immoral";"ilegal";"inmoral";"A";"0.2";"4.28";"2.37";"1.59";1;"0.2";0;"1.57"
"bad";"guilty";"malo";"culpable";"A";"0.2";"4.2";"1.68";"2.36";1;"0.2";0;"1.47"
"modern";"ancient";"moderno";"antiguo";"A";"0.2";"0.73";"2.31";"2.04";1;"0.2";0;"0.71"
"new";"ancient";"nuevo";"antiguo";"A";"0.2";"0.23";"2.81";"2.04";1;"0.2";0;"0.46"
"dull";"funny";"aburrido";"divertido";"A";"0.2";"0.55";"2.37";"2.5";1;"0.2";0;"1.76"
"happy";"young";"feliz";"joven";"A";"0.2";2;"2.56";"3.16";2;"0.2";0;"0.47"
"easy";"big";"fácil";"grande";"A";"0.2";"1.12";"2.07";"3.66";2;"0.2";0;"1.22"
"great";"awful";"grandioso";"horrible";"A";"0.15";"1.17";"1.81";"1.92";1;"0.15";0;"1.53"
"tiny";"huge";"diminuto";"gigante";"A";"0.15";"0.6";"3.11";"3.54";2;"0.15";0;"0.59"
"polite";"proper";"cortés";"adecuado";"A";"0.14";"7.63";"1.85";"1.78";1;"0.14";0;"1.42"
"modest";"ashamed";"modesto";"avergonzado";"A";"0.14";"2.65";"2.21";"1.74";1;"0.14";0;1
"exotic";"rare";"exótico";"raro";"A";"0.14";"8.05";"2.11";"1.96";1;"0.14";0;"0.93"
"dumb";"clever";"tonto";;"A";"0.14";"1.17";"2.36";"1.79";1;"0.14";0;"1.3"
"delightful";"wonderful";"delicioso";"maravilloso";"A";"0.14";"8.65";"2.38";"1.82";1;"0.14";0;"1.29"
"noticeable";"obvious";"notable";"obvio";"A";"0.14";"8.48";"2.29";"2.07";1;"0.14";0;"1.69"
"afraid";"anxious";"miedoso";"ansioso";"A";"0.14";"5.07";"2.7";"1.68";1;"0.14";0;"1.28"
"formal";"proper";"formal";"adecuado";"A";"0.14";"8.02";"2.7";"1.78";1;"0.14";0;"1.31"
"dreary";"dull";;"aburrido";"A";"0.14";"8.25";"2.33";"2.37";1;"0.14";0;"1.85"
"delightful";"cheerful";"delicioso";"alegre";"A";"0.14";"6.58";"2.38";"2.34";1;"0.14";0;"1.56"
"unhappy";"mad";"infeliz";"loca";"A";"0.14";"5.95";"2.04";"2.76";1;"0.14";0;"1.36"
"sad";"terrible";"triste";"terrible";"A";"0.14";"5.4";"3.07";"2.04";1;"0.14";0;"0.44"
"sick";"crazy";"enfermo";"loco";"A";"0.14";"3.57";"2.97";"2.37";2;"0.14";0;"0.95"
"violent";"angry";"violento";"enojado";"A";"0.14";"6.98";"3.1";"2.53";2;"0.14";0;"1.55"
"laden";"heavy";"cargado";"pesado";"A";"0.14";"5.9";"2.96";"3.37";2;"0.14";0;"1.28"
"dirty";"cheap";"sucio";"barato";"A";"0.14";"1.6";"4.23";"2.11";2;"0.14";0;"1.1"
"elastic";"flexible";"elástico";"flexible";"A";"0.14";"7.78";"3.73";"2.64";2;"0.14";0;"1.09"
"hard";"dense";"duro";"denso";"A";"0.14";"5.9";"3.76";"3.14";2;"0.14";0;1
"recent";"new";"reciente";"nuevo";"A";"0.13";"7.05";"2.5";"2.81";2;"0.13";0;"1.05"
"bold";"proud";"audaz";"orgulloso";"A";"0.12";"3.97";"2.43";"2.07";1;"0.12";0;"1.36"
"sly";"strange";"astuto";"extraño";"A";0;"1.97";"2.03";"1.86";1;0;0;"1.07"
"strange";"sly";"extraño";"astuto";"A";0;"2.07";"1.86";"2.03";1;0;0;"0.51"
"dumb";"rare";"tonto";"raro";"A";0;"0.48";"2.36";"1.96";1;0;0;"1.55"
"sly";"tough";"astuto";;"A";0;"0.58";"2.03";"2.5";1;0;0;"1.01"
"terrific";"mad";"genial";"loco";"A";0;"0.4";"2.07";"2.76";1;0;0;"0.86"
"modest";"flexible";"modesto";"flexible";"A";0;"0.98";"2.21";"2.64";1;0;0;"1.89"
"fresh";"wide";"fresco";"amplio";"A";0;"0.4";"1.97";"3.06";1;0;0;"1.41"
"huge";"dumb";"gigante";"tonto";"A";0;"0.48";"3.54";"2.36";2;0;0;"0.91"
"large";"flexible";"grande";"flexible";"A";0;"0.48";"3.37";"2.64";2;0;0;"1.59"
"dirty";"narrow";"sucio";"estrecho";"A";0;"0.3";"4.23";"3.04";2;0;0;"0.89"
"wife";"husband";"esposa";"marido";"N";"8.85";"2.3";"4.13";"4.11";3;"8.85";1;"0.84"
"book";"text";"libro";"texto";"N";"8.81";"6.35";"4.9";"4.93";4;"8.81";1;"1.43"
"groom";"bride";"novio";"novia";"N";"8.65";"3.17";"4.54";"4.63";3;"8.65";1;"0.68"
"night";"day";"noche";"día";"N";"8.19";"1.88";"4.52";"3.92";3;"8.19";1;"1.17"
"south";"north";"sur";"norte";"N";"7.72";"2.2";"3.84";"4.14";3;"7.72";1;"0.59"
"plane";"airport";"avión";"aeropuerto";"N";"7.57";"3.65";"4.92";"4.87";4;"7.57";1;"1.07"
"uncle";"aunt";"tío";"tía";"N";"7.46";"5.5";"4.24";"4.17";3;"7.46";1;"1.63"
"horse";"mare";"caballo";"yegua";"N";"7.4";"8.33";5;"4.75";4;"7.4";1;"0.73"
"bottom";"top";"inferior";"superior";"N";"6.96";"0.7";"4.25";"3.93";3;"6.96";1;"1.16"
"friend";"buddy";"amigo";"compañero";"N";"6.87";"8.78";"3.07";"3.48";2;"6.87";1;"0.93"
"student";"pupil";"estudiante";"alumno";"N";"6.83";"9.35";"4.92";"4.55";3;"6.83";1;"1.11"
"world";"globe";"mundo";"globo";"N";"6.79";"6.67";"4.36";"4.59";3;"6.79";1;"0.67"
"leg";"arm";"pierna";"brazo";"N";"6.73";"2.88";"4.83";"4.96";4;"6.73";1;"0.79"
"plane";"jet";"avión";"jet";"N";"6.62";"8.1";"4.92";"4.77";4;"6.62";1;"1.24"
"woman";"man";"mujer";"hombre";"N";"6.6";"3.33";"4.46";"4.79";3;"6.6";1;"1.42"
"horse";"colt";"caballo";"potro";"N";"6.54";"7.07";5;"4.96";4;"6.54";1;"0.84"
"actress";"actor";"actriz";"actor";"N";"5.78";"7.12";"4.54";"4.57";3;"5.78";1;"1.3"
"teacher";"instructor";"profesor";"instructor";"N";"5.66";"9.25";"4.52";"4.26";3;"5.66";1;"1.53"
"movie";"film";"película";"film";"N";"5.43";"8.87";"4.59";"4.71";3;"5.43";1;"1.72"
"bird";"hawk";"ave";"halcón";"N";"5.29";"7.85";5;"4.93";4;"5.29";1;"0.91"
"word";"dictionary";"palabra";"diccionario";"N";"5.2";"3.68";"3.56";"4.62";3;"5.2";1;"1.56"
"money";"salary";"dinerio";"salario";"N";"5.16";"7.88";"4.54";"3.69";3;"5.16";1;"1.11"
"dog";"cat";"perro";"gato";"N";"5.13";"1.75";"4.85";"4.86";4;"5.13";1;"1.3"
"area";"region";"área";"región";"N";"5.12";"9.47";"3.72";"3.19";2;"5.12";1;"0.58"
"navy";"army";"marina";"ejército";"N";5;"6.43";"3.93";"4.7";3;5;1;"0.53"
"book";"literature";"libro";"literatura";"N";"4.86";"7.53";"4.9";"4.1";3;"4.86";1;"0.45"
"clothes";"closet";"ropa";"armario";"N";"4.83";"3.27";"4.76";"4.83";4;"4.83";1;"1.29"
"sunset";"sunrise";"atardecer";"amanecer";"N";"4.8";"2.47";"4.54";"4.69";3;"4.8";1;"1.12"
"child";"adult";"niño";"adulto";"N";"4.59";"2.98";"4.78";"4.4";3;"4.59";1;"1.48"
"cow";"cattle";"vaca";"ganado";"N";"4.39";"9.52";"4.96";"4.64";4;"4.39";1;"0.79"
"book";"story";"libro";"historia";"N";"4.19";"5.63";"4.9";"3.3";3;"4.19";1;"0.78"
"winter";"summer";"invierno";"verano";"N";"3.96";"2.38";"3.84";"3.64";3;"3.96";1;"0.47"
"taxi";"cab";"taxi";"cab";"N";"3.86";"9.2";"4.93";"4.88";4;"3.86";1;"1.23"
"tree";"maple";"árbol";"maple";"N";"3.67";"5.53";5;"4.46";3;"3.67";1;"1.19"
"bed";"bedroom";"cama";"dormitorio";"N";"3.53";"3.4";5;"4.9";4;"3.53";1;"1.25"
"roof";"ceiling";"techo";;"N";"3.5";"7.58";"4.79";"4.85";4;"3.5";1;"0.77"
"disease";"infection";"enfermedad";"infección";"N";"3.45";"7.15";"3.45";"4.1";3;"3.45";1;"1.08"
"arm";"shoulder";"brazo";"hombro";"N";"3.35";"4.85";"4.96";"4.93";4;"3.35";1;"1.81"
"sheep";"lamb";"oveja";"cordero";"N";"3.33";"8.42";"4.9";"4.97";4;"3.33";1;"1.51"
"lady";"gentleman";"dama";"caballero";"N";"3.29";"3.42";"4.33";"3.57";3;"3.29";1;"1.08"
"boat";"anchor";"barco";"anclaje";"N";"3.25";"2.25";"4.93";"4.77";4;"3.25";1;"1.1"
"priest";"monk";"sacerdote";"monje";"N";"3.23";"6.28";"4.77";"4.35";3;"3.23";1;"0.61"
"toe";"finger";"pie";"dedo";"N";"3.22";"4.68";"4.93";5;4;"3.22";1;"0.55"
"river";"stream";"río";"corriente";"N";"3.21";"7.3";"4.89";"4.5";3;"3.21";1;"0.81"
"anger";"fury";"ira";"furia";"N";"3.06";"8.73";"2.41";"2.89";2;"3.06";1;"1.89"
"date";"calendar";"fecha";"calendario";"N";"3.05";"4.42";"3.9";"4.62";3;"3.05";1;"1.5"
"sea";"ocean";"mar";"océano";"N";"2.91";"8.27";"4.79";"4.86";4;"2.91";1;"1.3"
"second";"minute";"segundo";"minuto";"N";"2.84";"4.62";"3.3";"3.04";2;"2.84";1;"1.15"
"hand";"thumb";"mano";"pulgar";"N";"2.84";"3.88";"4.72";"4.96";4;"2.84";1;"0.44"
"wood";"log";"madera";"tronco";"N";"2.79";"7.3";"4.85";"4.96";4;"2.79";1;"0.87"
"mud";"dirt";"barro";"suciedad";"N";"2.76";"7.32";"4.86";"4.86";4;"2.76";1;"0.48"
"hallway";"corridor";"pasillo";"corredor";"N";"2.7";"9.28";"4.74";"4.72";3;"2.7";1;"0.76"
"way";"manner";"forma";"manera";"N";"2.56";"7.62";"2.34";"1.62";1;"2.56";1;"0.44"
"mouse";"cat";"ratón";"gato";"N";"2.56";"1.12";"4.83";"4.86";4;"2.56";1;"1.02"
"cop";"sheriff";"policía";"comisario";"N";"2.54";"9.05";"4.3";"4.5";3;"2.54";1;"1.55"
"death";"burial";"muerte";"entierro";"N";"2.46";"4.93";"3.73";"3.93";3;"2.46";1;"1.88"
"music";"melody";"música";"melodía";"N";"2.43";"6.98";"4.31";"3.71";3;"2.43";1;"1.36"
"beer";"alcohol";"cerveza";"alcohol";"N";"2.4";"7.5";"4.88";"4.76";4;"2.4";1;"1.07"
"mouth";"lip";"boca";"labio";"N";"2.28";"7.1";"4.74";"4.96";4;"2.28";1;"1.4"
"storm";"hurricane";"tormenta";"huracán";"N";"2.27";"6.38";"4.7";"4.59";3;"2.27";1;"0.9"
"tax";"income";"impuesto";"ingreso";"N";"2.25";"2.38";"3.89";"3.07";2;"2.25";1;"1.15"
"flower";"violet";"flor";"violeta";"N";"2.22";"6.95";5;"4.48";4;"2.22";1;"1.72"
"paper";"cardboard";"papel";"cartón";"N";"2.2";"5.38";"4.93";"4.9";4;"2.2";1;"1.22"
"floor";"ceiling";"piso";;"N";"2.18";"1.73";"4.8";"4.85";4;"2.18";1;"0.97"
"beach";"seashore";"playa";"costa";"N";"2.15";"8.33";"4.79";"4.63";3;"2.15";1;"0.47"
"rod";"curtain";"caña";"cortina";"N";"2.13";"3.03";"4.43";"4.82";3;"2.13";1;"0.39"
"hound";"fox";"perro";"zorro";"N";"2.13";"2.38";"4.48";"4.97";3;"2.13";1;"1.36"
"street";"alley";"calle";"callejón";"N";"2.07";"5.48";"4.75";"4.82";4;"2.07";1;"1.62"
"boat";"deck";"barco";"cubierta";"N";"2.04";"4.28";"4.93";"4.77";4;"2.04";1;"1.39"
"car";"horn";"auto";"cuerno";"N";"2.04";"2.57";"4.89";5;4;"2.04";1;"0.79"
"friend";"guest";"amigo";"invitado";"N";"1.97";"4.25";"3.07";"3.83";2;"1.97";1;"1.41"
"employer";"employee";"empleador";"empleado";"N";"1.96";"3.65";"3.81";"4.1";3;"1.96";1;"0.95"
"hand";"wrist";"mano";"muñeca";"N";"1.96";"3.97";"4.72";"4.93";4;"1.96";1;"1.32"
"ball";"cannon";"bola";"cañón";"N";"1.96";"2.58";5;"4.79";4;"1.96";1;"1.82"
"alcohol";"brandy";"alcohol";"brandy";"N";"1.93";"6.98";"4.76";"4.81";4;"1.93";1;"0.57"
"victory";"triumph";"victoria";"triunfo";"N";"1.9";"8.98";"2.55";"2.17";1;"1.9";1;"0.94"
"telephone";"booth";"telefono";"cabina";"N";"1.88";"3.63";"4.96";"4.42";3;"1.88";1;"1.1"
"door";"doorway";"puerta";"portón";"N";"1.88";"5.4";"4.81";"4.75";4;"1.88";1;"1.86"
"motel";"inn";"motel";"posada";"N";"1.86";"8.17";"4.93";"4.64";4;"1.86";1;"0.39"
"clothes";"cloth";"ropa";"paño";"N";"1.82";"5.47";"4.76";"4.9";4;"1.82";1;"1.43"
"steak";"meat";"bife";"carne";"N";"1.81";"7.47";"4.96";"4.9";4;"1.81";1;"1.34"
"nail";"thumb";"uña";"pulgar";"N";"1.76";"3.55";"4.93";"4.96";4;"1.76";1;"1.16"
"band";"orchestra";"banda";"orquesta";"N";"1.75";"7.08";"4.68";"4.79";4;"1.75";1;"1.36"
"book";"bible";"libro";"biblia";"N";"1.74";5;"4.9";"4.61";4;"1.74";1;"1.43"
"business";"industry";"negocio";"industria";"N";"1.73";"7.02";"3.28";"3.29";2;"1.73";1;"1.1"
"winter";"season";"invierno";"temporada";"N";"1.71";"6.27";"3.84";"3.32";2;"1.71";1;"1.76"
"decade";"century";"década";"siglo";"N";"1.64";"3.48";"3.19";"2.83";2;"1.64";1;"1.36"
"alcohol";"gin";"alcohol";"ginebra";"N";"1.64";"8.65";"4.76";"4.46";3;"1.64";1;"1.17"
"hat";"coat";"sombrero";"saco";"N";"1.62";"2.67";"4.88";"4.97";4;"1.62";1;"1.76"
"window";"door";"ventana";"puerta";"N";"1.56";"3.33";"4.86";"4.81";4;"1.56";1;"1.6"
"arm";"wrist";"brazo";"muñeca";"N";"1.55";"3.57";"4.96";"4.93";4;"1.55";1;"1.33"
"house";"apartment";"casa";"apartamento";"N";"1.54";"5.8";5;"4.9";4;"1.54";1;"1.4"
"glass";"crystal";"vidrio";"cristal";"N";"1.52";"6.27";"4.82";"4.58";3;"1.52";1;"1.48"
"wine";"brandy";"vino";"brandy";"N";"1.52";"5.15";"4.79";"4.81";4;"1.52";1;"1.67"
"creator";"maker";"creador";"fabricante";"N";"1.51";"9.62";"3.07";"3.9";2;"1.51";1;"1.4"
"dinner";"breakfast";"cena";"desayuno";"N";"1.49";"3.33";"4.5";"4.43";3;"1.49";1;"1.72"
"arm";"muscle";"brazo";"músculo";"N";"1.45";"3.72";"4.96";"4.5";3;"1.45";1;"0.83"
"bubble";"suds";"burbuja";"espuma";"N";"1.42";"8.57";"4.6";"4.59";3;"1.42";1;"1.59"
"bread";"flour";"pan";"harina";"N";"1.42";"3.33";"4.92";"4.97";4;"1.42";1;"1.25"
"death";"tragedy";"muerte";"tragedia";"N";"1.41";"5.8";"3.73";"2.07";2;"1.41";1;"1.13"
"absence";"presence";"ausencia";"presencia";"N";"1.38";"0.4";"2.31";"2.72";1;"1.38";1;"1.5"
"gun";"cannon";"arma";"cañón";"N";"1.35";"5.68";"4.83";"4.79";4;"1.35";1;"1.56"
"grass";"blade";"hierba";"cuchilla";"N";"1.34";"4.57";"4.93";"4.93";4;"1.34";1;"1.53"
"ball";"basket";"pelota";"cesto";"N";"1.33";"1.67";5;5;4;"1.33";1;"1.08"
"hose";"garden";"manguera";"jardín";"N";"1.32";"1.67";"4.87";"4.73";4;"1.32";1;"1.1"
"boy";"kid";"muchacho";"niño";"N";"1.28";"7.5";"4.76";"4.56";3;"1.28";1;"1.44"
"church";"choir";"iglesia";"coro";"N";"1.27";"2.95";"4.9";"4.34";3;"1.27";1;"1.43"
"clothes";"drawer";"ropa";"cajón";"N";"1.27";"3.02";"4.76";"4.67";3;"1.27";1;"1.49"
"tower";"bell";"torre";"campana";"N";"1.22";"1.9";"4.76";"4.96";4;"1.22";1;"1.41"
"father";"parent";"padre";"progenitor";"N";"1.19";"7.07";"4.52";"4.56";3;"1.19";1;"1.06"
"school";"grade";"escuela";"grado";"N";"1.18";"4.42";"4.79";3;3;"1.18";1;"1.32"
"parent";"adult";"padre";"adulto";"N";"1.15";"5.37";"4.56";"4.4";3;"1.15";1;"1.6"
"bar";"jail";"bar";"cárcel";"N";"1.15";"1.9";"4.67";"4.83";4;"1.15";1;"1.12"
"car";"highway";"auto";"autopista";"N";"1.15";"3.4";"4.89";"4.72";4;"1.15";1;"1.77"
"dictionary";"definition";"diccionario";"definición";"N";"1.14";"6.25";"4.62";"3.07";3;"1.14";1;"1.06"
"door";"cellar";"puerta";"sótano";"N";"1.13";"1.97";"4.81";"4.68";4;"1.13";1;"1.47"
"army";"legion";"ejército";"legión";"N";"1.11";"5.95";"4.7";"2.69";2;"1.11";1;"1.29"
"metal";"aluminum";"metal";"aluminio";"N";"1.1";"7.25";"4.87";"4.88";4;"1.1";1;"1.76"
"chair";"bench";"silla";"banco";"N";"1.09";"6.67";"4.58";"4.87";3;"1.09";1;"1.22"
"cloud";"fog";"nube";"niebla";"N";"1.05";6;"4.54";"4.66";3;"1.05";1;"1.04"
"boy";"son";"niño";"hijo";"N";"1.03";"6.75";"4.76";"4.14";3;"1.03";1;"0.88"
"water";"ice";"agua";"hielo";"N";"1.03";"6.47";5;"4.89";4;"1.03";1;"1.66"
"bed";"blanket";"cama";"manta";"N";"1.02";"3.02";5;5;4;"1.02";1;"1.48"
"attorney";"lawyer";;"abogado";"N";"1.01";"9.35";"4.52";"4.7";3;"1.01";1;"1.4"
"area";"zone";"área";"zona";"N";"0.97";"8.33";"3.72";"3.07";2;"0.97";1;"0.89"
"business";"company";"negocio";"empresa";"N";"0.97";"9.02";"3.28";"4.11";3;"0.97";1;"0.47"
"clothes";"fabric";"ropa";"tela";"N";"0.96";"5.87";"4.76";"4.63";3;"0.96";1;"1.66"
"sweater";"jacket";"suéter";"chaqueta";"N";"0.96";"7.15";"4.78";"4.86";4;"0.96";1;"1.13"
"money";"capital";"dinero";"capital";"N";"0.95";"6.67";"4.54";"4.1";3;"0.95";1;"0.97"
"hand";"foot";"mano";"pie";"N";"0.95";"4.17";"4.72";"4.9";4;"0.95";1;"1.41"
"alcohol";"cocktail";"alcohol";"cóctel";"N";"0.93";"6.73";"4.76";"4.4";3;"0.93";1;"1.2"
"yard";"inch";;"pulgada";"N";"0.93";"3.78";"4.82";"4.37";3;"0.93";1;"1.4"
"molecule";"atom";"molécula";"átomo";"N";"0.92";"6.45";"3.27";"3.34";2;"0.92";1;"1.56"
"lens";"camera";"lente";"cámara";"N";"0.9";"4.28";"4.64";5;4;"0.9";1;"1.89"
"meal";"dinner";"comida";"cena";"N";"0.88";"7.15";"4.62";"4.5";3;"0.88";1;2
"eye";"tear";"ojo";"lágrima";"N";"0.88";"3.55";"4.9";"4.56";3;"0.88";1;"1.48"
"god";"devil";"dios";"diablo";"N";"0.87";"1.8";"2.07";"3.41";2;"0.87";1;"1.1"
"loop";"belt";"bucle";"cinturón";"N";"0.87";"3.1";"4.26";"4.9";3;"0.87";1;"1.74"
