tuit,pol
"Te pueden drogar con el celular? Hoy en Santo y seña: La burundanga, leyenda urbana o realidad? Canal 4, 22:30 hs.  https://t.co/nJ59A9GYAQ",NONE
Qué Lío,N
No debe haber en Uruguay un cara más corrupto que un director de revista que se pone la careta de honesto.,N
RT @TatianaCortazzo: En @santoysena1 informa @igalvar71 que el ex preso de Guantánamo está en Venezuela.,NONE
"No es casualidad que Argentina y Chile jueguen dos finales seguidas, ni que ambas se definan por penales",NEU
Qué fantasma este pelado! Roja inexistente.,N
"Quiero que pierda Chile, pero si gana, por lo menos va a ser un goce ver todos los programas argentinos llorando la tercera final perdida🙈🙈🙈",P
Mucho mexicano hinchando por Argentina. Se ve que se clavaron con las entradas después del 7-0.,N
RT @BUSQUEDAonline: La columna de @ClaudioPaolillo  nos invita a recorrer Montevideo... y perder el frío. Leéla aquí: https://t.co/oADcmM1X…,NONE
Hay errores que matan. Hoy en Santo y Seña: Mala praxis. A las 22:30 en Monte Carlo TV Canal 4. Porque todo se sabe. https://t.co/epk12uaYRh,NONE
"RT @Lascosas690: En instantes, en nuestro #Striptease, explicamos la liberación del múltiple homicida Pablo Goncálvez. @igalvar71",NONE
"Por ahora sólo marca, pero cómo presionan los dos!",P
"A cuál peor: Ma Julia denigrando a Mir y a Filgueira, y Tabaré acusando a los medios y pidiendo que sus dueños divulguen su patrimonio",N
"RT @christianfont: Comparto el trailer de @paellibro_uy realización y edición del fabuloso @micuentadetrino,director de @alisocratesgym htt…",NONE
"Bien Bravo, pero se cagó el Pipita",N
Si Uruguay tuviera a Messi estaba en la final. Y si Argentina tuviera a Suárez ya serían campeones.,NEU
Si Chile no gana no pasa nada. Si Argentina no gana es un drama.,N
RT @MonteCarloTV: ¿Qué te pareció nuestro Santo y Seña de ayer? #SySMalaPráxis https://t.co/CjVcoI0YNV,NONE
RT @elfabi76: @OPetinatti mirar santo y seña,NONE
Los argentinos están viendo que no era tan fácil como decían algunos,NEU
Otra doble fecha que pasa de eliminatorias y seguimos primeros! Vamo Uruguay carajo @AUFOficial @SoyCelestee,P
La amarilla a Messi fue por la ley de la compensación,NEU
RT @agusferrr: Como estuvo el programa de Santo y seña hoy!!!,P
RT @eduardo61992656: @MonteCarloTV @igalvar71 @_PatriciaMartin @AlejandroAmaral @Chechobianchi la verdad muy buena conmovedora y todos prog…,P
Messi y qué diez más!,P
Final de la NBA,NONE
RT @paellibro_uy: Atenti desde 11.15 estamos en @RadioSarandi690 con @igalvar71 en @Lascosas690 transmitimos por Facebook Live desde https:…,NONE
"Además de un dirigente político de fuste, un Presidente, un colorado de pura cepa, es una persona  afectuosa. No afloje Presidente Batlle!",P
Uruguay sin mucho fútbol pero con abundante marca y actitud,P
RT @MonteCarloTV: Santo y Seña ➡ Ser homosexual en uruguay ⬅ Programa completo: https://t.co/m5JXL0J6wZ https://t.co/dbu6yl8YDG,NONE
"RT @fcalvete1: Hernandez, Stuani, Rolan TODOS son menos que Nicolas Lopez. No hay peor ciego que el que no quiere ver.",N
RT @rosariorolfohtt: @igalvar71 @YouTube ojala nunca cambies el tipo de periodismo que haces. Da gusto escucharte en la radio y verte en tv…,P
"RT @quique230: @igalvar71 tremenda la entrevista en @Lascosas690 con @ernesto_talvi 👏🏼👏🏼!!
Tendría que haber gente así de capaz en el gobie…",P
Gracias a la gente de Brooksfield por su excelente atención. https://t.co/r38i4q7clV,P
"Uruguay puso la garra, Venezuela el fútbol",N
"RT @TapaloConDiari0: Total, no queríamos ganar este invento de copa...",N
Qué ojete,NONE
RT @anagonz12666151: @igalvar71 genios los Álvarez !!!,P
"Esta noche Los Alvarez tocamos en el Tabaré. Elvis, U2, Abba, Beatles, Clapton, Vicentico, Gilda, tango y murga. Reservas al 27123242.",NONE
"RT @MonteCarloTV: Mirá nuestro Santo y Seña de ayer: ¿Hogar de ancianos o depósito de viejos?
https://t.co/vXopUdKGZn https://t.co/8HE2aRqP…",NONE
En Santo y seña: Hogares de ancianos o depósitos de viejos? Y primicia sobre refugiados de Guantánamo. 22:30 Canal 4 https://t.co/by2a2lwPag,NONE
RT @perroju666: @ElElsalmon @igalvar71 esos son parte del problema Salmón.,N
RT @danfer00: Que hermoso programa el de #SantoySeña ojalá la gente entienda que TODOS tenemos derecho a amar sin importar el sexo.,P
RT @SusanaTabarez3: @igalvar71 hola como madre y abuela debo felicitarte. El programa del miércoles fue excelente!!!  = nos falta abrir cab…,P
Pinta para que se repita la final Argentina-Chile. Y debería ganar Argentina.,NEU
"RT @arieltf33: @igalvar71 Nacho, excelente el informe sobre la Homosexualidad en Uruguay. Un abrazo a todo el equipo de Montecarlo TV y de…",P
RT @LORENABELLO: @igalvar71 acá estamos!! Espectacular https://t.co/Qhz8NkKyPC,P
RT @Lascosas690: Hoy #LaCábalaDeLasCosas: el partido entre Uruguay y Venezuela con todos los personajes de @elgrangustaf y @MarcelKeoroglin…,NONE
Y Godín qué canta???,NONE
Era el de Chile!!!,NONE
"Les aseguro que el programa de hoy de Santo y seña, a muchos les va a cambiar su visión sobre la homosexualidad. Fuerte, emotivo y realista.",P
"RT @rochieroz: #santoyseña  Nadie se merece vivir en un armario, todos somos personas que amamos a otras personas. Excelente programa 👏",P
"Para los que se sienten emprendedores, vean en Netflix ""Steve Jobs, the lost interview"". Y después no tienen excusa.",P
Obviamente lo del himno fue un error. Pero los jugadores debieron quedarse parados hasta que pusieran el nuestro.,NEU
"RT @abalosgui: Estoy mirando santo y seña por primera vez, pero porque vale la pena",P
Hoy en Santo y seña repercusiones políticas sobre el Pastor Márquez. E IMPERDIBLE informe: Ser homosexual en Uruguay https://t.co/MzKPKSAeHO,NONE
RT @crearOreventar: Hay un niño de 4 años grave por una bala perdida. No es un comerciante. No se enfrentó a un chorro. Solo miraba la tele…,NONE
RT @Xaviliv: Como está para entrar al estadio y gritar MIGRACIONES en el medio de la tribuna de México.,NONE
RT @APereiralaunica: @igalvar71 hermoso y emotivo programa felicidades abrir el corazón lleva a que se tolere que no tiene que ver con la a…,P
"RT @NatiiSiierra: #SantoySeña Demasiado bueno el programa de hoy 🙌, espero que lo estén mirando muchas personas! Muy necesario para algunas…",P
RT @SeebassCAP: Tremendo el programa de #SantoYSeña 👏,P
"RT @bsanseverino: Violencia,explotación laboral,tratamientos  inhumanos la denuncia contra BERACA. Mañana lo presentó com.ddhh que presido…",N
Cómo me gustaría agarrar a estos muertos con Suárez,NEU
"RT @Lascosas690: En instantes, de la mano de @elgrangustaf, recibimos a #LosGauchos que van a contar cómo combaten el frío.",NONE
RT @natsa10: @igalvar71 claro q lo voy a ver. Como todos los miércoles.,NONE
RT @cake4ever7: #Santoyseña Amo a mi familia y me siento orgullosa de ser como soy 💚💜💙❤💛 https://t.co/K21lYJvwTd,P
"RT @bsanseverino: Mañana ingreso  en com.ddhh que presido denuncia contra   Beraca del pastor Marquez y diputado Dastugue .@dcastro65,
@Asa…",NONE
RT @AsambleaUruguay: Nuestra diputada pondrá en la agenda de la com. De DDHH la denuncia sobre BERACA https://t.co/uMdE8tOWEi,NONE
Y ese himno????,NONE
"RT @TrendsUruguay: Ignacio Alvarez, @igalvar71 es ahora una tendencia en Uruguay https://t.co/C0Ir6Alaez",NONE
"RT @BatllistasFA: Muy bien @santotv4 @igalvar71 @AlejandroAmaral @Chechobianchi , Si no quieren sopa, dos platos ! https://t.co/EIqreRji5f",P
RT @pipozapata: No me cae para nada @igalvar71 pero profesionalmente es un buen periodista,P
RT @DanielGraffigna: @sergiouy52 @sergiopibe @MBerniz @igalvar71 @veronica_alonso @jorgewlarranaga No defiendo lo indefendible!!,NONE
"Hasta ahora, Haití y el dron es lo más entretenido de la Copa América",N
"RT @fullenigma: @igalvar71 @afariasdiaz Hay que deschavar a los falsos pastores, a los negociantes.",N
RT @santotv4: Les dejamos el programa de ayer! El verdadero rostro del Pastor Márquez! https://t.co/M1B4evWodC @igalvar71,NONE
La Justicia acaba de rechazar un pedido del Pastor Márquez para que no se emita el programa de hoy de Santo y seña. A las 22:30 en Canal 4.,NONE
"RT @Lascosas690: En minutos, #LaPelículaDeLosMiércoles. Hoy #ShowMatch con todos los personajes de @elgrangustaf y @MarcelKeoroglin.@igalva…",NONE
"Hoy en Santo y seña: El verdadero rostro del Pastor Márquez. Golpes,manipulación y explotación. Porque todo se sabe. https://t.co/Ar49CRu0OY",NONE
"RT @SoyCelestee 
Los 11 de @Uruguay vs @Albirroja por la fecha 8 de #EliminatoriasRusia2018 
https://t.co/nQxAOHD7li https://t.co/Ze4d4YFwL9",NONE
"Giménez afuera ante Venezuela
https://t.co/dyM0XWYSUh
#Celeste #Uruguay @SoyCelestee https://t.co/vHGrcnNOj8",NONE
Feliz es poco...los 30 mil técnicos q habemos en el estadio estamos copados. @Uruguay @SoyCelestee https://t.co/uLWjy73QAx,P
La magia es de èl @LuisSuarez9 🏃🏆 #LS9 @Uruguay @SoyCelestee https://t.co/R7KsezuBFV,P
El golazo de la mas linda!  @Uruguay @SoyCelestee 🏃🏆⚽  #Eliminatorias2016 https://t.co/g0yWUz2TgF,P
"Hoy juega la más linda, la más hermosa de todas, LA CELESTE !! 🇺🇾
@SoyCelestee 
#Martesdeganarseguidores https://t.co/SFfXciXYqJ",P
Yo tengo 2!! con frio y lluvia estamos ahí... @AUFOficial @Uruguay @SoyCelestee  https://t.co/knwQSdR4mY,NONE
Nada nos para...mañana estamos ahí.  Vamo @SoyCelestee @Uruguay mañana ganamos!!! Vamo q vamos!!! :-) https://t.co/kAK02Fvbn4,P
#Insoportables @LuisSuarez9 @ECavaniOfficial 🏃🏆 @Uruguay @SoyCelestee Vamos q vamos!  #HayEquipo @AUFOficial https://t.co/VG4n4y3VxK,P
"Inseguridad 7.Y cuando se actúa al grito del histeriqueo de la locura colectiva, allí estamos perdidos, y ya casi estamos allí. Lo ven todos",N
"Inseguridad 6. No es fascismo apretar, vigilar y morder la cancha más. ¿O estamos esperando que haya masacres mayores para actuar?",N
"POR FIN ESTAMOS DE ACUERDO CON EL MPP

Publicidad del MPP: https://t.co/39H42vW62w https://t.co/0w5cwNjKQb",P
Mejorar la educación es nuestra mayor preocupación. https://t.co/tYIDwiFcUl,N
https://t.co/gcQbTjlj38,NONE
El narcotráfico y la pasta base están destruyendo a nuestros jóvenes y a la sociedad. Hay que combatirlos urgente https://t.co/AV9x7XO0oT,N
"A la hora de resolver los problemas de la gente debemos estar todos unidos.
https://t.co/CYUSvt7YWB",NONE
Ser abuelo es lo mejor que me pasó. Por mis nietos y por todos los jóvenes quiero ayudar a mejorar este país. https://t.co/fcHmhCMq9B,P
"Lo dijimos en campaña, la gestión de basura es un desastre.Necesitamos nuevas personas, más camiones y mejor gestión https://t.co/lM6lrL5l77",N
En solo 5 reuniones mandamos 4 proyectos de ley para mejorar la seguridad. Esa es la eficiencia que la gente pide. https://t.co/OBk1oUP7ls,P
Acompañando a la escuela Horizonte en una jornada muy especial. https://t.co/gmgLtdW94Q,NONE
"Los dirigentes del FA no son corruptos ni mentirosos, son incapaces. https://t.co/Ke35Q5iqQ2",N
El Frente Amplio cada vez más lejos de los jubilados https://t.co/x2ifa3nW5M,N
"SI CUIDAMOS EL DINERO COMO CADA UNO DE NOSOTROS  LO CUIDA EN SU CASA, ESTOY SEGURO QUE ESTE PAÍS PUEDE CAMBIAR. https://t.co/MO77ZKHFBe",P
".@senadordbianchi se une a este movimiento que se sigue agrandando como una bola de nieve

👉https://t.co/HVwPTxO69n https://t.co/w2zWgsOFaP",P
"Desayuno de trabajo: Piñera (@sebastianpinera), asesores y amigos. https://t.co/y7HEsfltTU",NONE
"En el próximo bloque... El gol de @LuisSuarez9 ante Paraguay, el análisis de Gonzalo Ribas con su sistema ATTI.",NONE
"Hoy, hace un año... https://t.co/Y1rJfbgCb3",NONE
El FA se olvidó de los que más necesitan. En cinco años se duplicó la población indigente. https://t.co/Mks9me1PtN https://t.co/qncxI4KDKT,N
¿Sabrá que el 50% de los niños todavía nace en hogares pobres? Son gobierno hace 12 años. https://t.co/gYV6nZphUG https://t.co/SUzRVPtazB,N
"""Qué hijos y qué nietos le vamos a dejar a nuestro país si no mejoramos la educación"".
https://t.co/8UrmFOXbMs",N
Queremos ingresar a los jóvenes en un país productivo. https://t.co/uh7mQ9IECc,P
Feliz día a ellas. https://t.co/a2BqCitYQn,NONE
"IMPUESTOS

Si queremos cambiar, necesitamos una mejor gestión.

👉 https://t.co/qjGcme0ims https://t.co/4zb6Uz36A8",N
11 años atrás @LuisSuarez9 hacía su primer gol en Primera División 🔵🔴⚪ ¡Orgullo Nacional! #CanteraInagotable https://t.co/T9uc3t9QM5,P
"RT @elpaistv: ""Hay que terminar con los ñoquis que hacen que el país sea caro"", dice @EdgardoNovick #ElPaisTV https://t.co/P7YWOZAm43",N
"RT @Mediosuru: .@EdgardoNovick ""Fuimos a la reunión con el Presidente en representación de la #Concertacion "" @lamanana810",NEU
"Yo no escuché a Vázquez hablar de ANCAP, de la educación, de la salud, ni de las rapiñas que no bajó: https://t.co/WW27GeZ34i",N
"RT @elpaistv: ""Hay que dejarse de acomodar gente,  hay 70.000 funcionarios más en diez años"", dice @EdgardoNovick #ElPaisTV https://t.co/P7…",NONE
"El mayor problema del país es, por goleada, la educación. Eso no hay petróleo que lo arregle https://t.co/4WwwTFCpUG https://t.co/pTk8iHrXKs",N
"EL MEJOR DE LA HISTORIA! 
#Messi",P
"La política de seguridad no debe cambiar si el gobierno es de derecha o de izquierda, debe ser ÚNICA Y PARA SIEMPRE. https://t.co/iy5J1s7vdn",NEU
"Se va a acabar... Se va a acabar...
Mujica, Sendic y todos.
https://t.co/0UEhYmmv9m vía @YouTube https://t.co/vXreJuUFlX",N
"RT @Mediosuru: .@EdgardoNovick ""El FA durante 25 años no hizo nada, y la oposición tampoco, la oposición no se puede quedar de brazos cruza…",N
"Estuvimos por Rivera escuchando los problemas y y necesidades de la gente.

👉 https://t.co/PMXyof44rw https://t.co/btyA8lysIl",NONE
Amigos son los amigos: https://t.co/ED9VCoEBt6 https://t.co/dyHeAdDp42,NONE
"RT @Mediosuru: .@EdgardoNovick ""Nosotros representamos a más d 200.000 uruguayos,teníamos q' concurrir a convocatoria d Presidente"" #Seguri…",NONE
"RT @Mediosuru: .@EdgardoNovick ""La gente pide que trabajemos juntos en la búsqueda de soluciones a temas como la educación"" @lamanana810",NONE
RT @Primeras1010: Este país vale la pena y lo vamos a poder cambiar. Para eso tenemos que estar todos juntos. @EdgardoNovick,P
"RT @Primeras1010: El costo del Estado es enorme. Tenemos la comida más cara del mundo, lo más básico ya es muy caro para lo que gana la gen…",N
Mujica nos dejó la peor educación en la historia del Uruguay. https://t.co/iQr5RRp2vS,N
"Es un ejemplo para el mundo que nos reunamos a discutir y plantear políticas de Estado.

👉 https://t.co/pWILGudEqk https://t.co/lfBKhXxpCz",P
"RT @Mediosuru: .@EdgardoNovick ""Vamos a seguir insistiendo con la #Concertacion ,continuaremos diálogo c/dirigentes de partidos, es el cami…",P
"RT @Mediosuru: .@EdgardoNovick "" @LuisLacallePou @PedroBordaberry debieron participar, tema debe abordarse como política de estado"" #Seguri…",N
Recorrimos San José y charlamos con vecinos para conocer cuáles son sus necesidades: https://t.co/MDod9FS0uq https://t.co/Wt6mDnIc03,NONE
"- BOLETO -
Uruguay es más caro para los que menos tienen. Hay que bajar el costo del estado: https://t.co/ABGT6PD8JD https://t.co/QC9sR1YIb2",N
"RT @Mediosuru: .@EdgardoNovick "" @jorgewlarranaga tiene buenas intenciones pensando en la posibilidad de juntarnos"" @elpaistv",P
"RT @Buendiauruguay: ""Mujica nos dejó la peor educación pública, empresas fundidas e inseguridad"" @EdgardoNovick",N
"RT @elpaistv: ""No se puede esperar más para arreglar la educación, hay que arreglarla ya"", dice @EdgardoNovick #ElPaisTV https://t.co/P7YWO…",N
"RT @Buendiauruguay: ""Lo bueno de la coalición es estar juntos, sumar la expresión de la gente"" @EdgardoNovick",P
"RT @Mediosuru: .@EdgardoNovick ""Mucha gente votó a Vázquez pensando que iba a gobernar, y hoy el que gobierna es #Mujica "" @elpaistv",N
"RT @elpaistv: ""Hay que darle opción de cambio a la oposición"", dice @EdgardoNovick #ElPaisTV https://t.co/P7YWOZAm43",NEU
"RT @Buendiauruguay: ""Las cosas en este gobierno no se están haciendo bien"" @EdgardoNovick en @Buendiauruguay",N
"RT @elpaistv: ""Mujica nos dejó el peor país de la historia"", dice @EdgardoNovick #ElPaisTV https://t.co/P7YWOZAm43",N
"RT @elpaistv: ""Le quiero decir a Vázquez que dentro de cinco años vamos a tener la peor educación del mundo"", dice @EdgardoNovick #ElPaisTV",N
"RT @Buendiauruguay: ""Voy a recorrer los pueblos, quiero saber las necesidades, problemas e ideas de la gente del interior"" @EdgardoNovick",NONE
"RT @elpaistv: ""Si hubiera habido Concertación el FA sólo habría ganado en dos departamentos"", dice @EdgardoNovick #ElPaisTV https://t.co/P7…",NEU
"RT @Buendiauruguay: ""La gente quiere gestores, que administren bien los dineros del estado. Un ejemplo es @mauriciomacri en Argentina"" @Edg…",P
"RT @elpaistv: ""El Frente Amplio está desgastado. Soy licenciado de mañana y de tarde no"", ironiza @EdgardoNovick #ElPaisTV https://t.co/P7Y…",N
"RT @Buendiauruguay: ""No solo gestionó mal a #Ancap sino que además es un mentiroso"" sobre @RaulSendic_uy dice @EdgardoNovick en @Buendiauru…",N
Que Mujica se vaya a vender humo al exterior. https://t.co/zqWUSfZXjj,N
"RT @Buendiauruguay: ""Hay que ser ejecutivo, actuar y gestionar más. Después viene la parte política de qué hacer con eso"" @EdgardoNovick",NEU
RT @elpaistv: Empieza la entrevista con @EdgardoNovick #ElPaisTV https://t.co/P7YWOZAm43 https://t.co/y6CT1F5hes,NONE
"RT @Mediosuru: .@EdgardoNovick ""Voy a seguir insistiendo en la #Concertacion por mas que los líderes de los partidos me digan que no"" @elpa…",NONE
"RT @Buendiauruguay: ""No sé por qué Vázquez no cambia al Ministro Bonomi"" @EdgardoNovick",N
No es casualidad que el @FCBarcelona_es le cueste tanto ganar cuando no están ni Messi ni @LuisSuarez9,NEU
"No miramos el costo político, evaluamos lo que quiere la gente. https://t.co/cw0NuRt6tM",NONE
RT @ObservadorUY: Novick salió a defender a través de un video su apoyo al Fondo Capital de Montevideo https://t.co/VC88S0PmS3 https://t.co…,NONE
"RT @enperspectivauy: ""Queremos mostrar que podemos ser firmes opositores y también construir y aceptar lo que es bueno para los ciudadanos""…",P
Lo mejor del debate va a ser cuando les pregunten qué opinan sobre el Nobel de Bob Dylan #debatenight,NEU
"RT @Mediosuru: .@EdgardoNovick ""Estamos convencidos que el camino es la #Concertación ,hay que seguir por ese camino"" @lamanana810",NEU
RT @portalmvd: .@EdgardoNovick explicó su apoyo al Fondo Capital https://t.co/oRlHO1QPWj https://t.co/7IlVnMAmi0,NONE
"RT @enperspectivauy: Novick dice que su bancada no se arrepiente de haber rechazado el Fondo Capital en diciembre, por el monto y las obras…",P
"RT @enperspectivauy: Novick asegura que en los últimos 25 años en la Intendencia de Montevideo ""el FA no logró nada, y la oposición, en su …",N
Mientras no somos gobierno no pretendemos que las cosas se hagan como nosotros queremos sino q nos representen mejor https://t.co/J2CEZo1qoG,NEU
"El mayor problema del país, por goleada, es la educación y eso no hay petróleo que lo arregle. https://t.co/78PQ06fPS6",N
"La solución de fondo es bajar los costos del Estado, de la energía y del combustible.",NEU
RT @enperspectivauy: Transcripción de la entrevista central de hoy con Edgardo Novick @EdgardoNovick https://t.co/jDKSJ6XRxv https://t.co/s…,NONE
"RT @enperspectivauy: ""Lo que queríamos era el control de esos fideicomisos y Nopitsch y el intendente Martínez nos dijeron: 'Sí, por supues…",P
"RT @enperspectivauy: .@EdgardoNovick: ""Nosotros no miramos los costos políticos, evaluamos las necesidades de la gente, de los vecinos"".",P
En unos minutos estaré @enperspectivauy. Se pueden sumar en 99.5 fm y 770 am o ver en https://t.co/qj0enSMbve,NONE
Confundido. Puse Game of Thrones pero están pasando Chile-México,NEU
"RT @Mediosuru: .@EdgardoNovick ""Vamos a seguir recorriendo los barrios de Montevideo, pero también vamos a recorrer el interior del país"" @…",NONE
La gente no aguanta más sin solución para los problemas del tránsito y la basura. ¿Qué conseguimos con este acuerdo? https://t.co/lM4raZRATv,N
Una alegría haber conocido hoy (aunque muy brevemente) a los tuiteros @pdasilve @juanpedromir @JavierdeHaedo,NONE
Nuestras sugerencias fueron escuchadas y votamos solamente las obras urgentes para la gente: Tránsito y Basura https://t.co/qWTuEhVzxf,P
"Si todos pensáramos un poco más en la gente y menos en nuestro futuro político, existirían más acuerdos que le harían bien al país.",P
RT @RadioSarandi690: (AL AIRE) @igalvar71 entrevista a @EdgardoNovick sobre el acuerdo anunciado ayer con @Dmartinez_uy para obras de la @m…,NONE
"En minutos estaremos en @FTSConfiables con Aldo Silva, los invito a seguirnos por https://t.co/7SdpGYCmpm",NONE
RT @alianzauy: AHORA: @jorgewlarranaga junto a @EdgardoNovick en el Palacio Legislativo. https://t.co/yC6UkQhCD4,NONE
"El camino es una oposición firme: defendimos nuestros compromisos de campaña y, sobre todo, conseguimos mejoras concretas para la ciudad.",P
Sendic dijo que en la izquierda no hay corrupción y acomodo. ¿Este es el mismo Sendic que fue presidente de ANCAP? https://t.co/VThf9lys6o,N
"Quizás hoy tendríamos TISA, hoy tendríamos una educación reformada y podríamos ayudar a disminuir la violencia.",N
"RT @De8a10: F.Nopistch,sec.gral @montevideoim :""Salgado no participò en negociaciòn ·FondoCapital; @EdgardoNovick me llamó el viernes para …",NONE
"TARIFAZO 

https://t.co/eHdAaGxOnx https://t.co/1WANVgYoZk",N
"RT @AlfieIsaac: Quienes voten el ""fondo capital"" estarán enterrando a los montevideanos por 40 años, para obras en su mayoría menores o inú…",N
Lo dijimos antes: el Frente Amplio pone por amiguismo a gente que no está capacitada para administrar ni gestionar. https://t.co/4RmdsGoVG9,N
"RT @AlfieIsaac: Con el fondo capital la deuda de IMM crecerá a los US$ 700 millones, un año de presupuesto. Estará quebrada y requerirá un …",N
El virus que me preocupa es el Mujica-Castro que hace creer que 60 años en el poder sin elecciones no es dictadura. https://t.co/hleom7ee6t,N
Invito a Sendic a que venga conmigo a hablar con Doña María y le explique cómo 2.000 millones de dólares de deuda no es despilfarro.,N
"Si no hay corrupción, hay incapacidad. Por una u otra Sendic debería irse para su casa.
https://t.co/nILyGt7ipR https://t.co/gNc4OP8UTQ",N
A partir de las 7:50 voy a estar con @dcastro65 en @lamanana810 @espectador810,NONE
Exigimos al Intendente que baje los gastos de la IM y que controlemos y auditemos la gestión de estas obras. https://t.co/sFMIi1j6kG,NEU
Bajar gastos de la IM es vital para una buena gestión y a eso se comprometió Martínez: https://t.co/aX0MibfWDP https://t.co/kYIEM76W9I,NEU
"Gracias por aconsejarnos, gracias por acompañarnos, por criticarnos. Gracias por sumarte: https://t.co/ODfFgeIxxu https://t.co/V4EguAOXGZ",P
"Pensando en los ciudadanos, vamos a apoyar lo bueno, y ser firmes opositores de lo que se haga mal. https://t.co/G9Js2NVpSf",P
"Homicidios en Uruguay 2016: en comercios 8, en las cárceles 11, en los hogares 77, en la calle 85.",NONE
Gobiernos populistas derrocharon las arcas de Latinoamérica. Fundieron a los países. #ElPaisTV,N
RT @elpaistv: En el próximo bloque estará @EdgardoNovick #ElPaisTV https://t.co/P7YWOZAm43 https://t.co/dQVcQ7qqCo,NONE
"RT @enperspectivauy: Comienza la entrevista con @EdgardoNovick, que se puede seguir por 770 AM, 99.5 FM y https://t.co/wqguHOKJO7.",NONE
Martínez pidió perdón por dejar toda la basura e irse de viaje. Mujica tendría que imitarlo por el país que dejó. https://t.co/wY16h0CLhX,N
Muchos frentistas están defraudados porque votaron a Vázquez y ven que está gobernando Mujica. #ElPaisTV,N
¡Buen día! A partir de 10:30 hs. estaré en el @elpaistv. Los invito a que me acompañen en https://t.co/VoL2CJ1uOd,NONE
"RT @NicolasLussich: ""Hay muchos frenteamplistas desilusionados con Vázquez, porque ven que gobierna Mujica"", agrega @EdgardoNovick",N
